"","date","incident"
"752",2003-07-27,"According to official sources in north Kashmir, security forces conducted a search operation at Khumriyal in the Kupwara district and in the ensuing encounter three unidentified terrorists were killed. Three AK-56 rifles, eight hand grenades, four rocket propelled grenades and a wireless set were recovered from the encounter site. In another encounter that occurred at Kachhama in the Trehgam area of Kupwara district, one terrorist was killed. He was identified as Maqbool alias Abu Khalid of Afghanistan. An AK-56 rifle and two hand grenades were recovered from his possession."
"753",2003-07-27,"Security forces (SFs) shot dead three foreign mercenaries affiliated to the Jaish-e-Mohammed (JeM) outfit during an encounter at village Kakora under the jurisdiction of Manjakote police station in Rajouri district. Two SF personnel sustained injuries during the encounter."
"754",2003-07-28,"In an encounter that ensued after a search operation in the Mahu village of Banihal area in the Doda district on July 28, four terrorists were killed. An Army Major was injured during the operation. However, two terrorists reportedly escaped during the encounter and were being searched by the security force (SF) personnel. According to official sources, the slain terrorists were affiliated to the Hizb-ul-Mujahideen Pir Panjal Regiment (HMPPR). Recoveries made from the incident site included four AK rifles, five magazines, 117 rounds of ammunition, a wireless set, 12 grenades and some explosive material."
"755",2003-07-28,"Three terrorists, including a Harkat-e-Islami (HEI) ‘commander’, were killed in an encounter at Thanamandi in Rajouri district. Three AK rifles, 377 rounds of ammunition, a pistol, three radio sets and Rupees 1500 in cash were recovered from them. Another terrorist was shot dead by security forces at village Bandashan in the Gool area of Udhampur district. He was identified as Malik Mohd Saifullah alias Umer Gujrilla, a resident of Pakistan occupied Kashmir (PoK). One AK rifle and some ammunition were recovered from his possession. Separately, another foreign mercenary was killed at Bathoi in Udhampur."
"756",2003-07-29,"Official sources said that SF personnel confronted a group of infiltrating terrorists at Machhil sector, close to the Line of Control (LoC). Till last reports came in, a fierce encounter was in progress. Unconfirmed reports said that at least four terrorists were believed to have been killed."
"757",2003-07-30,"Five personnel of the Central Reserve Police Force (CRPF) and five personnel of the Orissa State police were killed and eight others injured in a landmine blast triggered by left-wing extremists—Naxalites—of the People’s War Group (PWG) near Vejingiwada forest in the Malkangiri district on July 30. While eight of them were killed on the spot two more succumbed to injuries en route to a hospital. Speaking to media persons, Inspector General of Police (Operations), M M Praharaj, said the incident occurred when the security force personnel were on their way to conduct a combing operation near the Vejingiwada area. PWG Naxalites have been observing ‘martyrs’ day’ since July 29 in the area and they had reportedly threatened to attack police and Government officials.A red alert has been sounded in the entire southern Orissa and a massive combing operation has been launched to track down the Naxalites."
"758",2003-07-31,"Meanwhile in north Kashmir, SF personnel launched a cordon-and-search operation in the Churmarg forest area of Gulmarg-Baramulla belt. During the ensuing encounter, three foreign mercenaries affiliated to the Harkat-ul-Mujahideen (HuM) were killed."
"759",2003-07-04,"Five left-wing extremists—Naxalites—of the People’s War Group (PWG) and two civilians were killed in separate incidents in Andhra Pradesh. Three ‘action team’ members of the PWG, including two Local Guerrilla Squad (LGS) ‘commanders’ were killed in an encounter in Bellampalli town, Adilabad district, on July 4. According to district police chief, Mahesh Muralidhar Bhagwat, the encounter took place when special police party and Greyhounds personnel, on a tip off that Naxalites were hiding a house, raided the Kannala Basti area. The police appealed to the Naxalites to surrender who opened fire on the police. In the subsequent encounter, three Naxalites were killed. The police also recovered one carbine, a pistol and a revolver besides some cash and party literature from the encounter site."
"760",2003-07-04,"Three ‘action team’ members of left-wing extremist—Naxalite—group, the People’s War Group (PWG), including two Local Guerrilla Squad (LGS) ‘commanders’ and two police personnel were killed in an encounter in Bellampalli town, Adilabad district, on July 4. Earlier, media reports on July 5 had claimed that only three Naxalites were killed in the encounter. According to police sources, one of the slain Naxalites, Shankar, carried a reward of Rupees two lakhs on his head. He was involved in as many as 15 cases of murder."
"761",2003-07-05,"In another encounter in the Wurpash forest area of Ganderbal on the same day, three Lashkar-e-Toiba (LeT) terrorists were killed."
"762",2003-07-07,"According to official sources, three unidentified terrorists shot dead five civilians, including two women, and injured another woman at village Dandhok, near the Line of Control (LoC) in Nowshera sector of Rajouri district on July 7. The terrorists, who were attempting to cross over to Pakistan, remained untraced thus far. Sources added that the terrorists could be the same infiltrators, who escaped on July 6 after an encounter in the Kalaal area of Nowshera sector after killing a security force (SF) personnel and injuring three others."
"763",2003-07-09,"Left-wing extremists—Naxalites—of the Maoist Communist Centre (MCC) killed three persons in Dari village, Gumla district, on July 9-night. According to media reports, Naxalites abducted the victims from their houses and beheaded them at distance from their village. A leaflet found at the incident site carried the warning that similar treatment would be meted out to ‘police informers’."
"764",2003-06-01,"Three civilians, including two brothers, were killed by unidentified terrorists at Bhatta Dhar, approximately six kilometers from Bhaderwah in the Doda district on June 1. Official sources said that the slain civilians were first abducted from Bhatta Dhar when they were grazing their cattle on the hills and later killed. Security forces (SFs) have launched a search operation in Bhatta Dhar to dislocate the terrorists responsible for the killings. According to sources, during searches, police recovered the dead body of another civilian from the same area. He too had been abducted and later killed by unidentified terrorists."
"765",2003-06-10,"According to media reports, on June 10, five persons, including two unidentified Hmar terrorists, were killed and three others injured in the continuing inter-tribal conflict between the Dimasas and Hmars in Assam’s North Cachar Hills district. Suspected Hmar terrorists also clashed with the security forces near Mahur while the latter were proceeding towards a village of the Dimasa tribes on information that the Hmar terrorists were planning to avenge the arson by suspected Dimasa terrorists in two Hmar villages of Garden Basti and Saron in the same area. The Dima Halim Daogah (DHD), an outfit of the Dimasas, allegedly set ablaze 60 Hmar dwellings."
"766",2003-06-12,"In another operation, launched on specific information by SF personnel at Safalpora in the Handwara area, four Pakistani terrorists were killed."
"767",2003-06-12,"SFs raided a terrorist hideout at Mori in the Kalaroos area of the Kupwara district. During the operation, four unidentified terrorists were killed."
"768",2003-06-13,"Three civilians, including the mother and wife of a counter-insurgent, were shot dead by unidentified terrorists in the Handwara area of Kupwara district on June 13. Official sources in north Kashmir said that a group of terrorists intruded into the house of Ali Mohammad Mir, a counter-insurgent, and fired indiscriminately on the inmates. While Mir who sustained several gunshot injuries managed to escape, his mother, wife and a brother-in-law were killed. The terrorists escaped after the killing."
"769",2003-06-14,"Reports from Karbi Anglong have said that in the June 14 attack by the suspected terrorists of the anti-talks faction of the United People’s Democratic Solidarity (UPDS) at village Langki Ranghang Bihari Basti four persons were killed. Earlier reports had said that three persons were killed in the attack. Latest reports have also said that the number of persons injured in the attack is two, and their condition is stated to be critical."
"770",2003-06-14,"Security forces (SFs) killed 10 hardcore Pakistani terrorists of the Lashkar-e-Toiba (LeT) outfit during an encounter at Hari Safeda in the Surankote area of Poonch district on June 14. A police constable and a civilian were also killed in the incident. Official sources said that the encounter ensued after SFs launched a search operation in Hari Safeda forests after securing information regarding movement of a large group of terrorists. Eight AK rifles, one Pika gun, a large quantity of AK and Pika ammunition, three wireless sets, 22 hand grenades, one Under Barrel Grenade Launcher (UBGL), eight UBGL grenades and some eatables and ration items were recovered from the encounter site."
"771",2003-06-14,"Suspected United Peoples’ Democratic Solidarity (UPDS) terrorists killed three persons and injured three more at village Langki Ranghang Bihari Basti in Assam’s Karbi Anglong district on June 14. According to the police, the terrorists in Army uniform reached the village and opened indiscriminate fire after forcing six persons out of their residence, killing three of them on the spot."
"772",2003-06-16,"In landmine blast triggered by Left-wing extremists—Naxalites—of the People’s War Group (PWG) at Nemalipuri village in the Nalgonda district of Andhra Pradesh on June 16, three police personnel were killed and another injured. According to eyewitness accounts, the trio was caught in the trap laid by the PWG on the Kodad-Nemalipuri road near a cement factory. The police party was engaged in combing operations in the area to arrest a group of PWG cadres who had reportedly assaulted three villagers while branding them as police informers in Nemalipuri on June 15. The blast was reportedly carried out by the Krishnapatti dalam (squad) of the PWG."
"773",2003-06-17,"A media report said that in Assam’s Darrang district, three hardcore United Liberation Front of Asom (ULFA) terrorists and an Army Major were killed in an encounter on June 17. A woman also received bullet injuries during the encounter. Quoting official sources, the report further said that the incident occurred at Neogpara village under Kalaigaon police station limits when security forces were searching the village on specific information that a group of ULFA terrorists had sneaked in. While three ULFA terrorists were killed in retaliatory firing, the Army Major, Indrajit Singh Babar, also lost his life during the encounter. The remaining terrorists of the group escaped following the incident. 12 dwellings were also gutted during the encounter. An UMG, an AK 56 beside 56 rounds of live cartridges and two grenades along with some incriminating documents were recovered from the incident site."
"774",2003-06-18,"Official sources in south Kashmir have indicated that, on specific information, SFs launched a cordon-and-search operation at Chilipora in the Shopian area of Pulwama district on June 18. In the subsequent encounter, while two Hizb-ul-Mujahideen terrorists and one SF personnel were killed, two SF personnel sustained injuries. Sources added that both the slain terrorists were responsible for a number of subversive acts and killings in the area, including the recent killing of a woman Special Police Officer (SPO)."
"775",2003-06-02,"Three civilians were killed by unidentified terrorists in separate incidents across the Jammu region on June 2 while Border Security Force (BSF) destroyed a terrorist hideout in Kalakote, Rajouri district, and effected recoveries of five Austrian-made grenades besides other arms and explosives."
"776",2003-06-20,"According to media reports terrorists of the National Liberation Front of Tripura (NLFT) killed four persons and abducted another in separate incidents in Tripura. Police sources said heavily armed terrorists fired indiscriminately on an ambulance carrying a patient, on the Assam-Agartala National Highway, NH-44, near Mungiabari under the Teliamura police station-limits, West Tripura district, on June 20. Two persons, including the patient, were killed in the firing."
"777",2003-06-20,"Four foreign mercenaries of the Lashkar-e-Toiba (LeT) outfit were killed during an encounter at village Tiranga in the Banihal area of Doda district on June 20. A security force (SF) personnel was injured in the incident. Four AK rifles, four magazines, seven hand grenades and four pouches were recovered from the encounter site."
"778",2003-06-20,"On June 20, one United Liberation Front of Asom (ULFA) terrorist and two personnel of the Central Industrial Security Force (CISF) were killed in an encounter at Nagajan in Assam’s Tinsukia district. According to reports, a group of at least 12 ULFA terrorists first hijacked a bus and forcibly took it to the crude oil storage facility at the incident site. The patrolling team of the CISF noticed the terrorists’ movement and an encounter ensued. The terrorists blew up an empty crude oil tank with a rocket launcher even as two CISF personnel lost their lives in countering the attack. A ULFA terrorist, too, was killed."
"779",2003-06-20,"Six Hmar People’s Convention-Democratic (HPC-D) terrorists were killed in an encounter with the security forces that occurred following a search of the outfit’s hideout near Phylen village in Cachar district on June 20. An AK-47 rifle, two other rifles, four country made rifles, two country made pistols along with an unspecified quantity of ammunition and some incriminating documents were seized from the encounter site."
"780",2003-06-20,"According to a media report of June 22, the police have identified the two groups of United Liberation Front of Asom (ULFA) terrorists suspected to be involved in the twin attacks in Assam. According to the Inspector General of Police (IGP) (Special Branch), Khagen Sarma, while the ‘28th battalion’ of the ULFA was responsible for the attack on an oil storage facility in Tinsukia district on June 20, a 22-member ULFA ‘hit-squad’ was involved in the attack on a Central Reserve Police Force (CRPF) camp in Bongaigaon on June 21. Two security force personnel and two terrorists were killed in these incidents."
"781",2003-06-22,"Official sources in south Kashmir indicated that, on specific information, security forces (SFs) raided a terrorist hideout at Dashipora in the Shopian area of Pulwama district on June 22. In the ensuing encounter, two Hizb-ul-Mujahideen (HM) terrorists were killed. In the same Shopian area, unidentified terrorists shot dead three persons, including a woman, who were allegedly counter-insurgent sources of the Army. In the first incident, terrorists appeared at Gratabal and abducted a 34-year-old woman from her parents’ home. After reportedly torturing her, she was shot dead with the allegation that she had worked for the SFs. Further, two more civilians were shot dead in separate incidents in the Zainapora area of Shopian."
"782",2003-06-22,"Three terrorists were killed after SF personnel raided their hideout at Dardpora in Kralpora."
"783",2003-06-23,"Sources in north Kashmir said that a group of unidentified terrorists intruded into the residence of 80-year-old civilian, Abdul Ahad Dar, at Lassipora in the Lolab valley of Kupwara district and opened indiscriminate fire on the inmates. While Dar, his son and daughter were killed, another civilian sustained injuries in this incident. The terrorists escaped after the killing."
"784",2003-06-24,"Three persons, including a security force (SF) personnel, were killed in an encounter at Gagal forests area, Kupwara district, on June 24."
"785",2003-06-27,"During another raid on a terrorist hideout at Rangar in the Damhal-Hanjipora area of Kulgam in south Kashmir, three residential houses were destroyed and three unidentified terrorists killed. One SF personnel was also killed and three persons, including a woman, sustained injuries."
"786",2003-06-28,"In the first major terrorist strike since Prime Minister Vajpayee's April 18-peace initiative, two fidayeen (suicide squad) terrorists attacked an army installation at the Dogra Regiment camp in Sunjwan on the outskirts of Jammu city on June 28 killing 12 soldiers and injuring seven others, including a Lieutenant, before being killed by the troops. Official sources said that the death toll of soldiers could increase as the condition of two army personnel, who were airlifted to the Military Hospital in Udhampur, was stated to be serious.Two suicide terrorists wearing army uniforms reportedly stormed the army camp in the early hours on June 28 hurling grenades and firing indiscriminately, killing two guards at the main gate. While one of them entered the ground floor barrack and commenced indiscriminate firing on the sleeping soldiers with an AK rifle, the second terrorist took position outside the barrack. The terrorists were later shot dead by a quick reaction team of the Army, a spokesperson of the Army said in New Delhi. After the encounter, a bomb disposal squad carried out extensive sanitization of the entire area and defused three grenades thrown by the terrorists. Two AK-47 rifles with Pakistani markings and carrying Lashkar-e-Toiba (LeT) symbols besides 13 magazines, 470 rounds of ammunition, 23 grenades, some explosive material and Rupees 1800 in Pakistani currency were recovered from the slain terrorists. While identity of the slain terrorists has not been established thus far, the Daily Excelsior reported that an intercept said one of them could be Abu Hurera (code name)."
"787",2003-06-29,"Four unidentified terrorists were killed in an encounter at Abahama in the Keller area of Pulwama district in south Kashmir."
"788",2003-06-30,"Security forces killed four terrorists, including a ‘battalion commander’ and a ‘company commander’ of the Jaish-e-Mohammed (JeM), at Abhama village in the south Kashmir district of Pulwama. Sources said that two security force personnel sustained injuries in the gun battle."
"789",2003-06-04,"Three Jaish-e-Mohammed (JeM) terrorists and a security force (SF) personnel were killed while three SF personnel, including a Junior Commissioned Officer (JCO), and a teenaged girl were injured during an encounter in the Surankote area of Poonch district on June 4. Official sources said that the encounter ensued after a search operation at Safeda Mohalla in the Hari Marhot area of Surankote. Three AK rifles, six magazines, a radio set, three radio antennas and one pouch were recovered from the incident site."
"790",2003-06-04,"Three personnel of the Central Industrial Security Force (CISF) and the driver of the vehicle in which they were traveling were killed when left-wing extremists—Naxalites—of the Maoist Communist Centre (MCC) triggered a landmine at Karo mines under the Bermo sub-division, Bokaro district, on June 4. CISF personnel were on patrol duty when the Naxalites triggered the blast. According to media reports, soon after the blast, an MCC ‘sub-zonal commander’ called up the local media and said it was a ""token tribute to new Superintendent of Police (SP), Anil Palta, who was transferred from Daltonganj"". Palta reportedly figures on the MCC hit-list. The MCC leader said Palta, who had launched an offensive against the Naxalites during his tenure as the Daltonganj SP, would have to face many more such blasts in the future."
"791",2003-06-06,"In the same district, three terrorists and a civilian were killed and three other civilians, including two women, were injured at village Chrung in the Thanamandi area. The slain terrorists belonged to the Lashkar-e-Toiba (LeT) outfit. Two AK-56 rifles, one AK-47 rifle, nine AK magazines, 150 rounds of ammunition, two hand grenades and two radio sets were recovered from the incident site."
"792",2003-06-06,"Suspected Hmar Peoples’ Conference-Democrats (HPC-D) terrorists attacked Lodi Basti, a Dimasa populated village, which straddles Cachar and North Cachar Hills districts in Assam on June 6 and killed three tribals, including two women. The terrorists also set ablaze approximately 50 dwellings before escaping from the village. Another report has said that five more Dimasa youths are also missing following the incident."
"793",2003-06-07,"In another incident in the same district, three terrorists and a civilian were killed and three other civilians, including two women, were injured at village Chrung in the Thanamandi area. The slain terrorists belonged to the Lashkar-e-Toiba (LeT) outfit. Two AK-56 rifles, one AK-47 rifle, nine AK magazines, 150 rounds of ammunition, two hand grenades and two radio sets were recovered from the incident site."
"794",2003-06-07,"Official sources in south Kashmir have indicated that a large group of terrorists were holding a meeting in the Zainapora area of Shopian, Pulwama district on June 7. In response to a tip off, security force (SF) personnel raided a hideout at Hef Gund near Zainapora, and in the ensuing encounter, eight unidentified terrorists were killed. Three SF personnel sustained injuries during the encounter. SFs recovered eight AK-56 rifles, two wireless sets and an unspecified quantity of grenades and assorted ammunition from the encounter site. A massive combing operation was in progress in search of other terrorists of the group."
"795",2003-06-07,"Terrorists shot dead three members of a marriage party and injured another at village Samot under Budhal police station’s jurisdiction in Rajouri district of Jammu and Kashmir (J&K) on June 7. Official sources said the terrorists intercepted four civilians, who were returning to Samot after attending a marriage party at Khwas Top and opened indiscriminate firing killing three of them on the spot and wounding another. The terrorists escaped after the killing."
"796",2003-06-08,"According to official sources in the Kathua district, a group of at least seven unidentified terrorists abducted four civilians from their residence and later shot them dead at village Sadrota on June 8. The terrorists escaped after the killing."
"797",2003-06-09,"Security forces (SFs) shot dead five suspected Lashkar-e-Toiba (LeT) terrorists during an encounter at Nangali Top in the Poonch district on June 9. Five AK rifles, seven magazines, three radio sets, 500 AK rounds, nine Improvised Explosive Devices (IED), 13 hand grenades, nine religious books, five pouches, Rupees 9,000 in Indian currency and Rupees 1800 in Pakistani currency were recovered from the incident site."
"798",2003-03-11,"A joint search team of Army and Jammu and Kashmir (J&K) police personnel on March 11 killed three Harkat-ul-Jehad-i-Islami (HuJI) terrorists in an encounter in Keshwan village, Doda district. A large quantity of arms and ammunition was recovered from the slain terrorists. According to official sources, the terrorists had earlier taken shelter in an abandoned house in Jugna village and tried to dodge the security forces (SFs) under thick jungle cover. However, the search team chased and spotted them in Keshwan village and asked them to surrender. But, they attacked the search team. The three terrorists were killed in retaliatory firing by SFs. Two AK-56 rifles, 65 AK rounds, a pistol with 10 rounds, a wireless set, three hand grenades and other explosive materials were recovered from the incident-site."
"799",2003-03-11,"According to media reports, four suspected Kanglei Yawol Kanna Lup (KYKL) terrorists and a soldier of the Assam Rifles (AR) were killed in an encounter in Oksu village, Imphal East district, Manipur, on March 11. Citing official sources, reports said the encounter followed a raid on a hideout in the area and further added that an AK 47 rifle, two m-21 rifles and some self loading rifles (SLR), besides some ammunition, were recovered from the incident-site."
"800",2003-03-12,"According to media reports, four persons were killed and seven more injured on March 12-night in a bomb explosion in a building in Math Laxmanpur Koiri locality, in Patna, Bihar.Police have reportedly recovered two pencil batteries, wires, explosives, two detonators, a motorcycle, a scooter and several books on physics from the site.Available evidences suggested that the deceased persons were making bombs, to be set-off using a remote device, police said. It is also suspected that those killed could be associated with left-wing extremists––Naxalites––of either the Peoples War Group (PWG) or the Maoist Communist Center (MCC). Investigations are on into the incident."
"801",2004-04-10,"On April 10, three United Liberation Front of Asom (ULFA) cadres were killed in an encounter with security forces near Hahim in the Kamrup district along the Assam-Meghalaya border. One universal machine gun, four RPGs and four hand grenades were recovered from the slain terrorists."
"802",2004-04-11,"Three Lashkar-e-Toiba (LeT) terrorists, including a ‘commander’ identified as Khalid alias Ceera 7, were reportedly killed by security force personnel in the Kreeri Pattan area of Baramulla district on April 11. Three AK rifles, 16 magazines, 200 rounds of ammunition and one Under Barrel Grenade Launcher (UBGL) were recovered from the incident site."
"803",2004-04-13,"On April 13, All Tripura Tiger Force (ATTF) terrorists killed four Border Security Force (BSF) personnel and wounded two others during an ambush at Subolkobrapara under Kalyanpur police station limits in the West Tripura district. The terrorists also looted an unspecified number of light machine guns and three self-loading rifles."
"804",2004-04-19,"On April 19, three security force personnel were reportedly killed during an encounter with the People's Liberation Army (PLA) terrorists at Sajik Tampak in the Chandel district of Manipur. The terrorists are also reported to have taken away two rifles with five magazines, an AK-47 and a binocular from the troops."
"805",2004-04-02,"Three Left-wing extremists (also called Naxalites), including a woman, believed to be part of the Bellamkonda guerilla squad of People's War Group (PWG), were reportedly killed during an encounter with the police in the Guntur district of Andhra Pradesh on April 2. A kit bag, three bombs and a double-bore gun were recovered from the incident site."
"806",2004-04-20,"According to Central Chronicle, six left-wing extremists (also called Naxalites) were killed and 12 wounded in at least 20 encounters with the police in the Bastar district of Chhattisgarh on April 20, the day of elections to Lok Sabha (Lower House of Parliament). While details on these encounters were not available till last reports came in, four para-military personnel were reportedly injured in landmine blasts triggered by the outlawed People’s War Group (PWG) and Maoist Communist Centre (MCC) Naxalites who had given a poll boycott call in the Bastar region."
"807",2004-04-20,"In the State, according to The Telegraph, three Naxalites died on the spot while they were making crude bombs at Jhumra Pahad in the Bokaro district. Three others sustained injuries in the incident, which occurred three hours before the polling began."
"808",2004-04-21,"Three foreign mercenaries affiliated to the Lashkar-e-Toiba (LeT) were reportedly killed by the troops during an encounter at Kalaban in the Mendhar area of Poonch district on April 21. Three AK rifles and an unspecified quantity of ammunition were recovered from the encounter site. The operation was continuing till last reports came in as two to three more terrorists are suspected to be hiding in the area. Sources in Poonch said that the slain terrorists had planned to kill National Conference Legislator from Mendhar, Javed Rana."
"809",2004-04-23,"Three police commandos were reportedly killed and another wounded during an ambush by unidentified terrorists at Khordak in the Bishnupur district of Manipur on April 23. According to Assam Tribune, the ambush occurred when commandos attached to the Imphal police station went to Khordak following reports that terrorists were forcing villagers not to cast their votes in the second phase of Lok Sabha (Lower House of Parliament) polls in the State on April 26. When the commandos reached the spot they were fired upon from highly sophisticated weapons by about 20 terrorists, who escaped after the killing following retaliatory firing by the police reinforcements."
"810",2004-04-25,"In the second terrorist attack on the Chief Minister’s daughter and People’s Democratic Party (PDP) chief, Mehbooba Mufti, at least three persons were killed and 30 sustained injuries during an election rally at Khull Ahmedabad in the Kulgam district on April 25. On the eve of the phase-II of the Lok Sabha (Lower House of Parliament) polling today, terrorists also left 12 persons, including nine troops, wounded in a grenade attack at Lal Bazaar in the capital Srinagar while three Border Security Force (BSF) personnel were injured in grenade attacks on three Polling Stations in Budgam."
"811",2004-04-25,"Official sources said that an unidentified terrorist lobbed a hand grenade on the ruling PDP President Mehbooba Mufti’s motorcade at the conclusion of a public meeting at Khull Ahmedabad. Three persons died and at least 30 others, including five children, were wounded during the attack. Mehbooba is the PDP candidate from Anantnag-Pulwama constituency."
"812",2004-04-25,"Three suspected terrorists affiliated to the United National Liberation Front (UNLF) were reportedly killed during an encounter with the police at Yairipok Top Chingtha in the Thoubal district of Manipur on April 25. A Manipur Police commando and a civilian were also wounded during the encounter. Two AK 47 rifles and a revolver were recovered from the incident site."
"813",2004-04-25,"Three villagers were reportedly shot dead and 11 others sustained injuries during an attack by cadres of the outlawed left-wing extremist (also called Naxalites) People’s War Group (PWG) at Adai village in the Gaya district of Bihar on April 25."
"814",2004-04-26,"On April 26, armed activists of the Ranvir Sena, a private militia of the landlords, reportedly killed three left-wing extremists (also called Naxalites) of the banned People’s War Group (PWG) near the Karpi police station area of Arwal district in Bihar. In retaliation, suspected PWG activists killed a Ranvir Sena supporter on April 27 at Morari village in the same district."
"815",2004-04-07,"On April 7, four Army personnel were killed and 16 others were injured when an Improvised Explosive Device (IED) planted by terrorists exploded in Choornar forest area of Handwara tehsil (administrative unit) in the Kupwara district while the Army personnel were carrying out searches to sanitise the area after killing Lashkar-e-Toiba’s (LeT) ‘divisional commander’ Shakeel in an encounter earlier."
"816",2004-04-07,"The death toll in the landmine blasts triggered by left wing extremists (also called Naxalites) of the Maoist Communist Centre (MCC) rose to 26 as six more police personnel have reportedly died. The incident occurred on April 7-night in the Gua forest area of West Singhbhum district in Jharkhand when the security force personnel were carrying out combing operations. The Naxalites also reportedly set ablaze six police vehicles and took away a large number of police weapons."
"817",2004-04-08,"At least nine persons were killed and 58 others sustained injuries during a terrorist attack on an election rally of the ruling People’s Democratic Party (PDP) in the border town of Uri in Baramulla district on April 8. While Housing Minister Ghulam Hassan Mir’s personal security officer was among those killed, Finance Minister Muzaffar Hussain Baig and Mir himself were wounded during the grenade attack. Mehbooba Mufti, PDP chief and daughter of Chief Minister Mufti Mohammad Sayeed, and the party’s Baramulla candidate Nizam-ud-din Bhat, who were also present at the venue escaped unhurt. The Save Kashmir Movement, allegedly a front organisation of the Lashkar-e-Toiba (LeT), has claimed responsibility for the attack."
"818",2004-08-10,"On August 10, three suspected terrorists of the United Liberation front of Asom (ULFA) and a police personnel were killed in an encounter at Jorabat in the Kamrup district of Assam. According to reports, the three terrorists were killed after police opened fire on a vehicle which refused to stop at a checking point. A .9mm pistol was recovered from the slain terrorists."
"819",2004-08-11,"Troops foiled an infiltration attempt in the Keri sector of Rajouri district on August 11 killing three terrorists. At least two other terrorists of the group are reported to have escaped during the encounter. Three rifles and some ammunition were recovered from the incident site."
"820",2004-08-15,"17 people, including 16 children, were killed and approximately 40 others were injured in the Dhemaji district of Assam on August 15, 2004, when suspected terrorists of the outlawed United Liberation Front of Asom (ULFA) triggered a powerful blast. The blast, triggered by a remote-controlled device, reportedly occurred around 9 AM (IST) when the children gathered at Dhemaji College ground for the Independence Day parade."
"821",2004-08-18,"According to Press Trust of India, four activists of the Communist Party of India-Marxist Leninist (CPI-ML) were shot dead by cadres of the outlawed People's War Group (PWG) at Paligan Bazaar in the Patna district of Bihar on August 18-night. The incident was stated to be in retaliation for the killing of two PWG activists at Paliganj on August 14."
"822",2004-08-18,"Four members of the family of a Special Police Officer, Mohammed Rafiq Ghoste, were shot dead by a group of terrorists at village Malan Jamlan in the Mahore area of Udhampur district on August 18. Sources in Udhampur said the terrorists wanted to target Ghoste, who was a surrendered cadre of the Hizb-ul-Mujahideen (HM) outfit."
"823",2004-08-29,"Another infiltration attempt was foiled by the Army personnel in the Narsian village of Keri sector in Rajouri district. According to Daily Excelsior, four terrorists who were trying to infiltrate into the Indian territory were shot dead by the troops."
"824",2004-08-29,"The Army today foiled two infiltration attempts on the Line of Control (LoC) in Nowshera and Keri sectors killing eight terrorists, including a top Lashkar-e-Toiba (LeT) ‘commander’ Kale Khan, on August 29. Four infiltrators, including Khan, were killed by the troops at Lowa Katha in the Nowshera sector of Rajouri district. While two terrorists of the group managed to escape from the incident site, a soldier died during the gun-battle and another sustained injuries. Four AK rifles, a large cache of ammunition, eight hand grenades and one wireless set were recovered from the encounter site."
"825",2004-08-30,"Three unidentified terrorists were shot dead during an encounter with security force personnel at Bekhipora Sheikhpora village in the Rafiabad area of Baramulla district on August 30. Officials identified one of those killed as Rizwan and claimed that he was a Pakistani national."
"826",2004-08-31,"Two terrorists and a civilian died during an encounter between the former and troops at Naupora in the Sopore area of Baramulla district. One of the slain terrorists was later identified as a Pakistani national, Mohammad Naseeb-ud-din."
"827",2004-08-04,"The All Tripura Tiger Force (ATTF) terrorists have killed three children at Mandai in the West Tripura district on August 4. Police sources said heavily armed ATTF terrorists attacked the house of local Communist Party of India-Marxist (CPI-M) leader Madhusudan Debbarma and abducted his son, nephew and infant daughter at gunpoint and later killed all the three at a nearby jungle."
"828",2004-08-04,"Seven Central Reserve Police Force (CRPF) personnel, including a company commander, and one terrorist were killed and nine people sustained injuries during an encounter after two terrorists stormed a CRPF camp in the Rajbagh locality of capital Srinagar on August 4-night. According to Press Trust of India, the encounter ended after a final assault was launched by security forces to flush out the terrorists holed up inside the camp in the early hours of August 5. The whereabouts of the second terrorist was not known till last reports came in. This is the second attack on CRPF within a week. Earlier, two terrorists had stormed a camp in the Dal Lake area on July 27-28 and killed five CRPF personnel."
"829",2004-08-06,"During another encounter that occurred at Pampore in the Pulwama district, three Jaish-e-Mohammed (JeM) terrorists were shot dead by the troops."
"830",2004-08-06,"Three terrorists, an equal number of soldiers and a woman were killed while another soldier was wounded during an encounter at Ari-Goripora in the Kangan area."
"831",2004-08-07,"On August 7, the encounter between terrorists and security forces (SF) at Konibal in Pampore area of Pulwama district ended with the death of three soldiers. As reported earlier, three Jaish-e-Mohammed (JeM) terrorists were also shot dead in the clash."
"832",2004-12-01,"The National Democratic Front of Bodoland (NDFB) terrorists killed five villagers including three members of a family and injured another at Lutubari near Amguri under Tura police station limits in the West Garo Hills on December 1. Meghalaya Director General of Police, L. Sailo said that the terrorists stormed the house of one Mihir Hajong looking for his son, who is an NDFB cadre. When the father failed to provide any information, the terrorists gunned down three members of the family and two maidservants."
"833",2004-12-10,"Four police personnel were reportedly killed and four Village Defence Committee (VDC) members sustained injuries during an encounter with a group of terrorists at village Mathain in the Kathua district on December 10. All the terrorists, suspected to be from the Lashkar-e-Toiba (LeT), are reported to have later escaped from the incident site. Deputy Inspector General of Police (Jammu range), Farooq Ahmed, told Daily Excelsior that the police party had moved towards a forest area at Dar Mathain after securing information that a group of terrorists were camping there."
