"","uid","date","incident text","district","state","attributed organizations"
"575",575,"2002-07-14","suspected national democratic front of boroland (ndfb) terrorists massacred nine persons in assam's kokrajhar district, on june 14. media reports said the victims were adivasis and they included three women and a 10 year old girl child. five others were also seriously injured in the attack. the incident occurred when ndfb terrorists attacked thatched houses of the adivasis staying in the west maligaon forest village relief camps. some of the houses were also set ablaze by the terrorists who reportedly managed to escape under the cover of darkness. kokrajhar deputy commissioner (dc) dr a.k. bhutani reportedly said a search operation was on to nab the terrorists. he also said a review meeting of the kokrajhar district coordination committee under the unified command structure was held to take stock of the situation. further information was is awaited.",NA,"assam","national democratic front of bodoland "
"576",576,"2002-07-15","security force (sf) personnel killed six terrorists on july 15 across and poonch districts and foiled terrorists’ plot to target the sarthal mata pilgrimage by defusing a powerful explosive device planted on the yatra track. official sources said sfs killed three pakistan based terrorists after an encounter at angan pathri in the mandi sector of poonch district. the terrorists were killed when their sfs destroyed their hideout after securing information about their presence in angan pathri, pir panjal range. three ak 56 rifles, three magazines, 38 rounds and a wireless set were recovered from the possession of slain terrorists.","poonch","jammu and kashmir","people’s liberation army of manipur"
"577",577,"2002-07-16","according to media reports, three security force personnel of the army’s jat regiment, including an officer, were killed, while six more have been seriously injured in an attack by terrorists from atop the hills of jujam under lakhipur police station limits, about 45km off silchar, on july 16.",NA,NA,NA
"578",578,"2002-07-17","official sources in north kashmir said a group of three terrorists were spotted in an apple orchid at shivbagh allaibagh in the tarzoo locality of sopore district. in the ensuing encounter, all three terrorists and an sf personnel were killed, while another sf personnel was injured.",NA,"jammu and kashmir","hizbul mujahideen"
"579",579,"2002-07-17","three security force personnel were killed and three more injured in an encounter in bonkoot village of bandipore, on july 17 night. however, all the terrorists managed to escape.","bandipora","jammu and kashmir",NA
"580",580,"2002-07-17","two foreign mercenaries of the lashkar e toiba (let) and a border security force (bsf) personnel were killed and four security force (sf) personnel injured in an encounter at dana thappa in the sabjian belt of poonch district, also on july 17. sf personnel had laid a cordon at dana thappa on a tip off that a group of terrorists were intending to carry out an attack on civilians in the area. sfs recovered an ak 47 rifle with two magazines, two hand grenades, two under barrel grenade launchers (ubgls), a wireless set, a pouch and a bag from the encounter site. at least two other terrorists reportedly managed to escape during the encounter.","poonch","jammu and kashmir","lashkar e taiba"
"581",581,"2002-07-18","in a day long encounter, security forces, on july 18, killed three terrorists, including two ‘commanders’ of the hizb e islami and the jaish e mohammed (jem), who had taken shelter in a house since july 17 night, holding 15 family members hostage in banihal town. 12 security force personnel, including a major and a captain in the indian army, were also injured in the encounter. reports said the terrorists had reportedly taken shelter in the house along the highway with a view to targeting the convoy of the amarnath pilgrimage (a famous annual hindu pilgrimage) starting on july 19. three ak rifles, four grenades, a damaged wireless set, etc were recovered from the site.",NA,NA,NA
"582",582,"2002-07-18","media reports said seven security force (sf) personnel were killed in an ambush allegedly laid by dima halim daogha (dhd) terrorists in assam's north cachar hills district, on july 18. a civilian was also injured in the incident.",NA,"assam",NA
"583",583,"2002-07-19","official sources in north kashmir said that security forces (sfs) laid an ambush in the nowgam sector on july 19 after receiving information that a group of pakistan based terrorists had infiltrated. in the ensuing encounter, while five of them were killed, three of their accomplices managed to escape. a letterhead recovered from the slain terrorists described one of them as syed anwar ‘chief commander’ of islami tulba. a large cache of arms and ammunition, including five ak 56 rifles, were recovered from the site of encounter. these sources added that all the five slain terrorists were pakistani cadres of lashkar e toiba (let), operating on a front name. in a statement, released from muzzafarabad, pakistan occupied kashmir (pok), a spokesperson of the jamiat ul mujahideen (jum), however, claimed that the terrorists intercepted were members of his group. he also claimed that three terrorists, including ‘battalion commander’ syed anwar, had managed to escape.",NA,"jammu and kashmir","hizbul mujahideen"
"584",584,"2002-07-30","three pakistan based terrorists were killed in an encounter in sadhna top, kupwara district. two of them, who were reportedly part of an infiltrating group, have been identified as javed barhaq and rasheed ud din of muzaffarabad, pakistan occupied kashmir (pok).","kupwara","jammu and kashmir","hizbul mujahideen"
"585",585,"2002-07-31","security forces, on july 31, confirmed that the hit squad responsible for the july 30 ambush was part of the ndfb team that sneaked into india from camps in bhutan to sabotage independence day celebrations. five security force personnel had been killed in the attack.",NA,NA,"national democratic front of bodoland "
"586",586,"2002-07-08","three youths were killed in an improvised explosive device (ied) explosion at ind village, gool area, udhampur district, on july 8. official sources said a group of youths discovered and opened a box containing the ied, which exploded killed three youths.","udhampur","jammu and kashmir",NA
"587",587,"2002-07-02","four left wing extremists, naxalites of the people’s war group (pwg), including a woman cadre, were killed in an encounter at narella village, karimnagar district on july 2. the slain naxalites were identified as karminagar district committee secretary and north telangana special zone (ntsz) committee member padmakka alias n rajitha, her personal security guard manasa, karimnagar district action team commander sagar and people's guerrilla army (pga) platoon member vikram. 32 year old padmakka, is also the wife of pw central committee member sande rajamouli alias prasad, and carried a reward of rs 5 lakh on her head. sagar carried rs 2 lakh reward on his head.police sources said there was information about the movements of 9th platoon of pga in nerella, kalleda, rayakal, rachepalli and habsipur villages and that they were collecting ""donations"" from contractors and businessman. to check the movements of the naxalites, a police team was sent to nerella village. during the course of a gramsabha (village assembly), police were informed about the presence of the naxalites atop a hillock abutting the village. the police reached the spot and caught the pw squad unawares leading to exchange of fire for over 30 minutes. after the firing stopped, police searched the place and found the bodies of the four naxalites. approximately, five to six naxalites were suspected to have fled the scene. the police also seized an ak 47 rifle, an slr and two 303 rifles from the encounter site.speaking to the media, a senior police official said the pwg naxalites were collecting donations from contractors and businessmen ever since the talks began. during the last one and half months, this particular squad alone collected funds to the tune of rs 2 crore, he claimed.the encounter has cast a shadow on the possibility of direct talks between the pwg and the government, as it took place just a day after the pwg announced that it might ""reconsider its stand on talks if the government failed to create conducive atmosphere"".",NA,"telangana","communist party of india (maoist)"
"588",588,"2002-07-02","three more terrorists, including an ‘area commander’, of the jaish e mohammed (jem) were killed in another encounter in the dranti forest area under darhal police station’s jurisdiction in rajouri district on the same day. some more terrorists were trapped in the operation, which was going on when reports last came in. the slain terrorists were from pakistan occupied kashmir (pok). three ak rifles, one pistol, 12 ak magazines, 330 pistols rounds, two radio sets, three kg rdx and 12 grenades have been recovered from the encounter site.","rajouri","jammu and kashmir","hizbul mujahideen"
"589",589,"2002-07-23","in their first major strike after walking out of the peace process, left wing extremists, naxalites of the people’s war group (pwg), in andhra pradesh, killed four police personnel and injured eight more in a landmine blast set off between karampudi and adigoppula villages, guntur district, on july 23. according to official sources, the incident took place when a 25 member team of ‘greyhounds’, a special anti naxal squad, on a tip off that pwg naxalites were holding meeting at a hide out in the durgi police station limits, was proceeding when it came under attack.",NA,"andhra pradesh","communist party of india (maoist)"
"590",590,"2002-07-26","according to media reports, eight persons were killed in west tripura district, on july 26, in an ambush allegedly laid by national liberation front of tripura (nlft) terrorists. the incident occurred at debendra sardarpara. a joint group of the central industrial security force (cisf) and tripura state rifles (tsr) was escorting oil and natural gas corporation (ongc) field staff to the gabordi drill site situated in the same district, when the incident occurred. the terrorists opened indiscriminate fire on the convoy. six security force (sf) personnel and civilian driver were killed in the attack. the terrorists also looted two self loading rifles (slrs). one of the terrorists was also killed in sfs’ retaliatory firing. other terrorists, whose number remains unascertained, reportedly managed to escape. a search operation was launched subsequently to nab them. further information in awaited.",NA,"tripura","national liberation front of tripura"
"591",591,"2002-07-26","five left wing extremists—naxalites—of the people’s war group (pwg), including three women, were killed in an encounter in dameru village, warangal district, on july 26. speaking to the media, district police chief nalin prabhat said that, during combing operations, a special police team spotted the naxalites who were holding a meeting and asked them to surrender. but they opened fire and in retaliatory firing by the police five of the naxalites were killed. some arms and ammunition were also recovered from the encounter site.",NA,NA,"communist party of india (maoist)"
"592",592,"2002-07-27","four civilians were killed and three others injured as unidentified terrorists set off a grenade blast in the main market in badgam on july 27. no terrorist group has claimed responsibility for the blast, thus far.","budgam ","jammu and kashmir",NA
"593",593,"2002-07-28","suspected all tripura tiger force (attf) terrorists in belcherra village, west tripura district abducted and killed four persons. the victims were the kin of a surrendered attf terrorist.",NA,"tripura","all tripura tiger force"
"594",594,"2002-07-29","four united liberation front of asom (ulfa) terrorists were killed in an encounter with security force (sf) personnel in assam's nalbari district on july 29. according to media reports, they were killed at parakuchi near ghaghrapar. the slain terrorists included a self styled 'lieutenant' and a woman cadre. seizures made following the encounter included a universal machine gun (umg), a .32 revolver, three grenades, an improvised explosive device weighing approximately 10 kg, a large quantity of ammunition and some incriminating documents. sfs suspect that the group was in the region for pre independence day (august 15) subversive activities.",NA,"assam","united liberation front of assam "
"595",595,"2002-07-30","suspected national democratic front of bodoland (ndfb) terrorists killed seven persons, on july 30, in assam's kokrajhar district. media reports said five security force (sf) personnel were killed in an ambush laid by the terrorists near durgapur village. the sfs were on patrol duty when the incident occurred. two bodo liberation tigers (blt) cadres were also killed, possibly by stray bullets, in the encounter. the terrorists managed to escape after the incident. search operations were on when reports last came in.",NA,"assam",NA
"596",596,"2002-07-09","a delayed report said suspected terrorists killed three persons in another incident in the same district. the incident occurred near bokolia bazar, howraghat police station jurisdiction, on july 9. quoting official sources, the report further said, a group of unidentified terrorists opened indiscriminate fire at one a shop in the market. three civilians died of bullet injuries on the spot.",NA,NA,NA
"597",597,"2002-07-09","four left wing extremists, naxalites, were killed in separate encounters in chandauli and sonebhadra on july 9. in the first encounter, three naxalites of the maoist communist centre (mcc) were killed in baira pahadi area under chakia police station limits, chandauli district. according to official sources, the encounter took place when, after a tip off that some naxalites had assembled at baira pahadi, security forces cordoned off the entire area. when the naxalites saw the police they opened fire. later, in an exchange of fire that continued for about 45 minutes, three naxalites were killed while the others managed to escape. six guns, two live bombs, a country made revolver, six torches and live cartridges in huge quantity were recovered from the encounter site.",NA,NA,"communist party of india (maoist)"
"598",598,"2002-06-12","in major incident of inter group clash between two terrorist outfits, seven terrorists   six belonging to the hizb ul mujahideen (hm) and one of lashkar e toiba (let)   were killed in village mithoon of doda district on june 12. the let foreign mercenaries were reported to have acted against hm’s local terrorists to gain control of the marwah dachchan belt where the latter, according to media reports, had been objected to the mercenaries’ misbehaviour with local women and extortion. official sources said that a group of 15 to 18 let terrorists, all foreign mercenaries, attacked a hm hideout at mithoon. as the let terrorists outnumbered the hm cadres, the former managed to inflict six casualties on the latter. retaliatory firing by hizb cadres led to the killing of one foreign mercenary of let, sources said, adding that other terrorists of both the outfits managed to escape after approximately 20 minutes exchange of firing.","doda","jammu and kashmir","hizbul mujahideen"
"599",599,"2002-06-14","three terrorists of the hizb ul mujahideen (hm) outfit were killed in an encounter in village kacharbass khari, doda district on june 14. some arms and ammunition were also recovered from the encounter site.","doda","jammu and kashmir","hizbul mujahideen"
"600",600,"2002-06-15","in a separate incident, at least three hizb ul mujahideen (hm) terrorists were killed in an encounter with sfs in the banihal area of doda district, reports on june 15 said. sfs launched a massive search operation in khari block, banihal, following receipt of information on the presence of a large group of terrorises in the area. on reaching village buzzla they were fired at by the terrorists and in retaliatory firing the terrorists killed, reports said. the slain terrorists were identified as ghulam mohammad pachoo aliad gulla of trigam, ghulam nabi rather and ghulam ahmed of batra, doda. some arms and ammunition were also recovered from the encounter site.","doda","jammu and kashmir","hizbul mujahideen"
"601",601,"2003-04-01","three terrorists were killed in an encounter that followed a cordon and search operation at nowbug, kulgam qazigund belt, south kashmir, on april 1. three ak 56 rifles and an equal number of hand grenades were recovered from the encounter site.","kulgam","jammu and kashmir","hizbul mujahideen"
"602",602,"2003-04-10","suspected activists of the proscribed ranvir sena, private army of landowners, killed three members of a dalit (downtrodden) family—a pregnant women and her two children—in azad nagar village, kinjer police station limits, arwal district, on april 10. media reports said over a dozen ranvir sena activists, all armed with sophisticated weapons, attacked the house of lorik paswan, believed to be a left wing extremist—naxalite—of the people’s war group (pwg). not finding him in the house, the sena activists killed three members of his family.senior police officials reached the spot and raids are being conducted at various places to track down the killers.",NA,NA,"communist party of india (marxist-leninist) people’s war "
"603",603,"2003-04-11","according to official sources in south kashmir, four foreign mercenaries of the lashkar e toiba (let) were killed during an encounter that ensued after a cordon and search operation, at the foothills of the pirpanjal range, in kulgam district, on april 11. the encounter was continuing, when reports last came in, as six more terrorists were still present at the hideout.","kulgam","jammu and kashmir","hizbul mujahideen"
"604",604,"2003-04-13","in another incident, three persons were killed and a woman was injured in an attack by the ranvir sena, in chauram village, under the limits of the same police station.",NA,NA,NA
"605",605,"2003-04-13","seven persons were killed in extremist related violence in separate incidents in bihar on april 13 night. in the first incident, left wing extremists—naxalites—of the people’s war group (pwg) killed four persons in karpi police station area, jehanabad district. media reports said prima facie evidence suggested that the victims were supporters of the proscribed ranvir sena, private army of landowners. a search operation has been launched to track down the naxalites.",NA,"bihar","communist party of india (marxist-leninist) people’s war "
"606",606,"2003-04-14","reports said four national democratic front of bodoland (ndfb) terrorists were killed in an encounter in dulongjhora village, assam's dhubri district, on april 14. an ak 56 rifle with a magazine, 35 ak 56 bullets, a pistol with a magazine, six cartridges and two grenades, among other things, were recovered from the slain terrorists.",NA,"assam",NA
"607",607,"2003-04-14","three unidentified terrorists were killed after security forces (sfs) destroyed their hideout in surankote area, poonch district, on april 14. three ak rifles, 13 magazines, 412 rounds of ammunition, six hand grenades, two rpg rounds and three pouches were recovered from the encounter site.","poonch","jammu and kashmir",NA
"608",608,"2003-04-15","meanwhile, official sources said, three terrorists of the harkat ul jihadi e islami (huji) were killed in an encounter with security forces at channa hair village, poonch district, on the same day.","poonch","jammu and kashmir","harkatul jihad e islami"
"609",609,"2003-04-19","two suspected hynniewtrep national liberation council (hnlc) terrorists were killed and three more arrested following an encounter by the special operation team of meghalaya police at mawpud village, west khasi hills district, on april 19. however, another terrorist escaped from the incident site. two 303 guns, four pistols and an unspecified number of ammunition were recovered from the incident site. according to reports, the police had gathered the information regarding presence of these terrorists at a hideout from two hnlc terrorists arrested earlier, on april 18.",NA,"meghalaya",NA
"610",610,"2003-04-02","meanwhile, security forces (sfs) destroyed two hideouts of the jaish e mohammed (jem), at hari budha, in mandi area of poonch district, and killed six foreign mercenaries. however, two other terrorists of the group escaped. six ak rifles, 18 magazines and three wireless sets were recovered from the incident site.","poonch","jammu and kashmir",NA
"611",611,"2003-04-20","media reports said 11 terrorists, including nine infiltrators, and a special police officer (spo) were killed in separate incidents across poonch and doda districts, on april 20. the security forces (sfs) foiled a major infiltration attempt on the line of control (loc) in nar village, balnoi area of mendhar sector, poonch district. nine pakistani infiltrators were killed during the operation, official sources said. they added that, even as the sfs challenged the terrorists, pakistani troops opened firing on forward indian positions to provide cover to the infiltrators. three ak rifles, two pistols, three wireless sets and an unspecified quantity of ammunition and explosive material were recovered from the incident site. the slain infiltrators belonged to the lashkar e toiba (let).","doda","jammu and kashmir","lashkar e taiba"
"612",612,"2003-04-22","according to a delayed report, eight left wing extremists—naxalites— and two personnel of the central reserve police force (crpf) were killed in an encounter in talikod area, south bastar district, on april 22. although the bodies of the slain naxalites had not been recovered, ‘memorials’ of eight of them were seen erected there after the encounter, the report added.",NA,NA,"communist party of india (maoist)"
"613",613,"2003-04-22","at least five persons were killed and three others injured in a landmine explosion in pulwama district, south kashmir, on april 22 morning. the mine was detonated by unidentified terrorists at gulshanpora, three kilometers away from the main town of tral, said official sources.","pulwama","jammu and kashmir","hizbul mujahideen"
"614",614,"2003-04-25","sfs on april 25 foiled an infiltration attempt, third in this particular week, killing three jaish e mohammed (jem) terrorists at the sagra village in the mendhar sector of poonch district. one sf personnel was also killed during the encounter. however, at least four other terrorists managed to escape from the incident site. three ak 56 rifles, four magazines, 79 rounds of ammunition, a wireless set and a huge quantity of explosive material were recovered from the scene of encounter.","poonch","jammu and kashmir",NA
"615",615,"2003-04-22","in a major counter insurgency operation, security forces (sfs) killed 14 terrorists in surankote area of poonch district, on april 22. an sf personnel was also killed in the encounter, which was continuing when reports last came in, as at least four more terrorists were still trapped in the area. official sources said sf personnel launched a cordon and search operation at hill kaka village, surankote, after securing information that a large group of terrorists was holding a joint meeting to devise future strategy in the area. these sources added that, the terrorists, including some ‘commanders’ of the lashkar e toiba (let) and jaish e mohammed (jem), were engaged in ""crucial parleys"" in the hills of hill kaka to intensify activities in the pir panjal range. most of the slain terrorists were reported to be foreign mercenaries of let and jem groups. an unspecified quantity of arms and ammunition was also recovered from the encounter site. a media report indicated that, with the latest incident, sfs in poonch district alone had killed 43 terrorists in the current month. furthermore, 80 per cent of the terrorists being killed in this district were foreign mercenaries, mostly pakistanis, the report added, quoting official sources.","poonch","jammu and kashmir","lashkar e taiba"
"616",616,"2003-04-22","meanwhile, the death toll in the improvised explosive device (ied) blast in tral area, pulwama district, south kashmir, on april 22, has increased to six. initial reports mentioned that five civilians were killed and 12 more injured in this incident.","pulwama","jammu and kashmir","hizbul mujahideen"
"617",617,"2003-04-24","three left wing extremists—naxalites—and two security force personnel were killed in an encounter in takilod village, south bastar region on april 24. according to official sources, the encounter took place when naxalites attacked a camp of the central reserve police force in the village to rescue five of their colleagues arrested earlier.",NA,NA,"communist party of india (maoist)"
"618",618,"2003-04-25","according to official sources, two unidentified terrorists conducted a suicide attack on the sector 11 headquarters of the border security force (bsf) at madar in the bandipore area of baramulla district on april 25 and killed three bsf personnel. later, both the terrorists and a civilian were killed in retaliatory firing. however, a third terrorist is believed to have escaped from the incident site. sources added that four more bsf personnel and three civilians sustained injuries in this attack. no terrorist group has claimed responsibility for the attack thus far. earlier, terrorists attacked a small contingent of security forces (sfs) at sumlar in the bandipore area and killed two sf personnel. even as security forces retaliated, the terrorists managed to escape from the incident site.","baramulla","jammu and kashmir",NA
"619",619,"2003-04-25","reports from north kashmir have indicated that three civilians, including two women, were killed and at least 38 persons were injured in a bomb blast inside the premises of the court of chief judicial magistrate at pattan on srinagar baramulla road.","baramulla","jammu and kashmir","hizbul mujahideen"
"620",620,"2003-04-26","a group of fidayeen (suicide terrorists) attacked the local station of all india radio in srinagar on april 26. three terrorists and two security force (sf) personnel were killed and eight others injured in the encounter that ensued. according to official sources, the incident took place when an explosive laden car drove to the gate of the heavily barricaded station and exploded, apparently triggered by remote control. the driver and a sf personnel nearby were killed instantly. two terrorists, who reportedly got off the car a safe distance away and took shelter in a mosque nearby, hurled grenades and began firing from automatic rifles. the sf personnel guarding the complex, which also houses the doordarshan kendra, returned the fire. the quick reaction team of the border security force (bsf) rushed to the spot and encircled the two terrorists who had come out of the mosque. the two terrorists were killed in the encounter. later, a spokesperson of the, al madeena regiment called up a local news agency and claimed responsibility for the attack. the outfit also claimed responsibility for the suicide attack on bsf headquarters at bandipora on april 25. condemning the attack, the chief minister, mufti mohammad sayeed, said by stepping up violence, especially when the peace process has been initiated, the terrorists and their mentors had demonstrated their obvious designs to thwart restoration of normalcy. he said, ""it is our solemn pledge to the people to restore peace with dignity in the state and we would continue to work for it with the people's support"".","bandipora","jammu and kashmir","people’s liberation army of manipur"
"621",621,"2003-04-26","in another incident, five sf personnel were killed in an improved explosive device (ied) blast inside a watermill at shumriyal, in cherkote, kupwara district. according to media reports, terrorists had planted the ied inside the watermill as they probably expected that the sf personnel would use the structure as shelter in the heavy rains.","kupwara","jammu and kashmir","harkatul mujahideen"
"622",622,"2003-04-26","suspected national democratic front of bodoland (ndfb) terrorists killed four members of a family, including two children, in assam’s kokrajhar district on april 26. reports said the terrorists attacked the house of a former ndfb terrorist whom they suspected to have ‘deserted’ the outfit at taijouguri village, bishmuri police outpost, and opened indiscriminate fire on the inmates killing four of them.",NA,"assam","hizbul mujahideen"
"623",623,"2003-04-27","official sources in north kashmir have indicated that four hizb ul mujahideen (hm) terrorists were killed in an encounter that ensued after security forces raided a hideout in the mundji forest area of sopore on april 27. four ak 56 rifles and a wireless set were recovered from the incident site.",NA,"jammu and kashmir","hizbul mujahideen"
"624",624,"2003-04-27","sf personnel launched an operation to flush out terrorists in the lagota forest area of doda district on the intervening night of april 27 and 28 after receipt of specific information regarding presence of terrorists in the area. even as the sfs were cordoning off the forest area, some terrorists, who were hiding in a cave, reportedly opened indiscriminate firing. in the ensuing encounter, three pakistani cadres of the hizb ul mujahideen (hm) group were killed. two ak 47 rifles, three magazines, 50 rounds of ammunition, three hand grenades, three pouches and a wireless set were recovered from the incident site.","doda","jammu and kashmir","hizbul mujahideen"
"625",625,"2003-04-28","security forces (sfs) killed five foreign mercenaries in the surankote area of poonch district in two separate encounters on april 28 and recovered a large quantity of arms and ammunition from them. official sources said while two al badr terrorists were killed in chanowali mehrote, three unidentified terrorists were killed in adanga wali tok. one sf personnel was killed during the encounter at chanowali mehrote.","poonch","jammu and kashmir","al badr "
"626",626,"2003-04-29","in an encounter at village nalla in the bharat area of doda district on april 29, 13 terrorists, including nine foreign mercenaries, six security force (sf) personnel and a civilian were killed while three sf personnel and four members of a family were injured. according to official sources, sf personnel launched a search operation in nalla after securing information that a large group of hizb ul mujahideen (hm) terrorists were holding a meeting in four houses in the area in connection with the ‘handing over of charge’ by hizb ‘area commander’ majid hussain, who had completed his two year ‘tenure’ in the district. as the sfs were in the process of surrounding the houses, the terrorists commenced firing with rocket projectile gun (rpg) and ak 47 rifles. in the ensuing encounter, all 13 terrorists, including the ‘area commander’ were killed. one rpg, five ak 47 rifles, a pistol, one wireless set, eight ak magazines, 250 rounds of ammunition and 10 hand grenades were recovered from the encounter site.","doda","jammu and kashmir","hizbul mujahideen"
"627",627,"2003-04-03","according to reports from north kashmir, a group of unidentified terrorists intruded into the residence of a former militant, mohammad yusuf sheikh, at dolipora, handwara area, on april 3. after failing to abduct him, they killed sheikh, his wife and their two year old daughter. the terrorists escaped after the killing.",NA,"jammu and kashmir","hizbul mujahideen"
"628",628,"2003-04-03","media reports, quoting police sources said at least 23 tribals were killed in assam. they were earlier abducted by alleged terrorists of the hmar people's convention (hpc) from chakerchang and mednartal villages, sonai police station limits, cachar district, on march 31. while a person was reportedly killed during the attack on march 31 itself, police found the dead bodies of 22 more on april 3, near mastul hills. reports also said six more persons are still missing and their whereabouts remain yet unknown.",NA,"assam","hizbul mujahideen"
"629",629,"2003-04-03","three left wing extremists—naxalites—of the people’s war group (pwg) were killed and a police personnel injured in an encounter near tiganpalli village, kostaram police station limits, dantewada district, on april 3. according to official sources, the encounter took place when a police patrol party came across a group of naxalites during a combing operation.",NA,NA,"communist party of india (maoist)"
"630",630,"2003-04-04","five activists of the sunlight sena, a private army of landowners, were killed in an encounter near bhaduma village, bisrampur police station limits, palamu district, on april 4. the encounter took place when armed activists of the sena attacked a police patrol. five rifles, a double barrel gun and 128 cartridges were recovered from the encounter site.",NA,NA,"people’s liberation army of manipur"
"631",631,"2003-04-05","four united liberation front of assam (ulfa) terrorists were killed in an encounter with a joint team of assam police and central reserve police force (crpf) personnel, on april 5, at silkhaguri, bongaigaon district. the slain terrorists were allegedly planning attacks on bongaigaon refinery and petrochemicals limited (brpl) complex, ahead of ulfa ‘raising day’, on april 7. security forces recovered two grenades, a map of the brpl complex, some explosive devises and a revolver, among other things, from the encounter site.",NA,"assam","people’s liberation army of manipur"
"632",632,"2003-04-06","left wing extremists—naxalites—of the maoist communist centre (mcc) killed three alleged criminals in hazaribagh district on april 6. the naxalites also reportedly left a pamphlet warning that all criminals would meet the same fate.",NA,NA,"communist party of india (maoist)"
"633",633,"2003-04-06","security forces (sfs) on april 6 foiled an infiltration attempt on the line of control (loc) in keri sector, killing six terrorists of the lashkar e toiba (let) group. according to official sources, sf personnel observed the movement of a group of 10 to 12 terrorists when they were attempting to infiltrate into indian territory from miari gujaran area, keri sector. while six of them were killed, the others escaped. six ak rifles, eight wireless sets, 22 ak magazines, rupees 26,000 in indian currency, an under barrel grenade launcher (ubgl), a rifle grenade, 53 rounds of ammunition and a tape recorder were recovered from the encounter site.",NA,NA,"lashkar e taiba"
"634",634,"2003-04-07","reports from south kashmir, meanwhile, indicated that three hizb ul mujahideen (hm) terrorists were killed in an explosion while they were planting an ied near kapran, shopian kulgam road. official sources said, among those killed was a ‘battalion commander’.","kulgam","jammu and kashmir","hizbul mujahideen"
"635",635,"2003-04-07","reports said terrorists killed three captives, whom they had abducted earlier with two more, on april 4, from a hmar village in assam's north cachar hills district. the dead bodies were recovered from marthanglaimoi village, on april 7. reports indicate that the dima halim daogah (dhd) could be responsible for the killings. the outfit might have acted to avenge the killing of 23 dimasa tribals in cachar district, on april 1, by hmar people's conference democrat (hpc d) terrorists.",NA,"assam","hizbul mujahideen"
"636",636,"2003-04-08","reports said five persons, including a woman and a child, were killed and eight more injured when national liberation front of tripura (nlft) terrorists opened indiscriminate fire on a private gathering at jagabandhpura, dhalai district, on april 8 morning, today. details of the incident are awaited.",NA,"tripura","national liberation front of tripura"
"637",637,"2003-08-01","meanwhile, one security force (sf) personnel and two harkat ul mujahideen (hum) terrorists were killed during an encounter that ensued after raid on a terrorist hideout at danis village in the beerwah area of budgam district. two houses were destroyed during the encounter.","budgam ","jammu and kashmir","harkatul mujahideen"
"638",638,"2003-08-10","meanwhile, two lashkar e toiba (let) terrorists and one security force (sf) personnel were killed during an encounter at village sarachi in the banihal area of doda district. one pika gun, one ak 47 rifle, six grenades and 200 ak rounds were recovered from the encounter site. the operation in the area was continuing till last reports came in as at least two more terrorists were suspected to be hiding there.","doda","jammu and kashmir","lashkar e taiba"
"639",639,"2003-08-12","according to a media report, four suspected hmar people’s convention democracy (hpc d) terrorists were killed in an encounter at a place near assam manipur border on august 12.",NA,"assam","hizbul mujahideen"
"640",640,"2003-08-12","on august 12, national liberation front of tripura (nlft) terrorists killed three security force (sf) personnel at taidu under amarpur subdivision area in west tripura district. according to official sources, a group of nlft terrorists of the biswamohan debbarma faction ambushed the sf team patrolling the area and two sf personnel were killed on the spot. one more succumbed to injuries later. the terrorists subsequently escaped even as security personnel returned fire.",NA,"tripura","national liberation front of tripura"
"641",641,"2003-08-13","two days before the independence day celebrations, one police personnel and two civilians were killed and 48 persons sustained injuries in an improvised device explosion (ied) blast at bandipore town on august 13. official sources said that the explosion had been caused by the terrorists with the help of a remote control device, yards away from a permanent border security force (bsf) pillbox. according to a local news agency, the al mansoorain, reportedly a front outfit of the lashkar e toiba (let) has claimed responsibility for the explosion.","bandipora","jammu and kashmir","lashkar e taiba"
"642",642,"2003-08-14","at least five persons, including two women, were killed and 15 others injured when a powerful explosive device triggered reportedly by a remote control blew off part of lilong bridge on the national highway 39 in imphal west district of manipur on august 14, today. official sources have reportedly confirmed that it was a terrorist attack.",NA,"manipur",NA
"643",643,"2003-08-14","suspected all tripura tiger force (attf) terrorists killed 26 persons in two separate attacks in khowai subdivision (administrative unit) of west tripura district on august 14, a day ahead of the independence day. while 11 persons were killed by the terrorist in kamalnagar village under kalyanpur police station limits, 15 more were killed in krishnapur, under teliamura police station limits. however, other reports have indicated that the death toll in these incidents could be 28.",NA,"tripura","all tripura tiger force"
"644",644,"2003-08-18","reports from south kashmir have indicated that two unidentified terrorists and a security force (sf) personnel were killed during an encounter at arah village in the kulgam area of jammu and kashmir (j&k) on august 18. two civilians sustained injuries during the encounter.","jammu","jammu and kashmir","hizbul mujahideen"
"645",645,"2003-08-18","seven united liberation front of asom (ulfa) terrorists were killed during separate encounters in assam on august 18. five ulfa terrorists were killed at ghopabasti under paneri police station limits in the darrang district allegedly while attempting to transport ration to their hideouts in bhutan after defying repeated calls by the security forces to surrender. some associates of the slain terrorists, however, escaped towards the jungles in bhutan. an ak 56 rifle, three magazines of ak 56 rifles, 53 rounds of empty cases, three revolvers, a pistol, unspecified number of shot guns, 19 live rounds of 9mm ammunition, 7 rounds of .22 live ammunition, a radio set, a dicta phone and some incriminating documents, among other things, were recovered from the incident site.",NA,"assam","united liberation front of assam "
